solution;cost;deviation ;time;generations;init_time;params;method
[8, 9, 6, 17, 13, 18, 12, 16, 5, 10, 3, 4, 11, 7, 15, 14, 0, 1, 2];17212548;0;0.196;1;0.14;[1, 0, 0];MTLS
[8, 9, 6, 17, 13, 18, 12, 16, 5, 10, 3, 4, 11, 7, 15, 14, 0, 1, 2];17212548;0;0.194;1;0.094;[1, 0, 0];MTLS
[8, 9, 6, 17, 13, 18, 12, 16, 5, 10, 3, 4, 11, 7, 15, 14, 0, 1, 2];17212548;0;0.157;1;0.09;[1, 0, 0];MTLS
[8, 9, 6, 17, 13, 18, 12, 16, 5, 10, 3, 4, 11, 7, 15, 14, 0, 1, 2];17212548;0;0.156;1;0.098;[1, 0, 0];MTLS
[8, 9, 6, 17, 13, 18, 12, 16, 5, 10, 3, 4, 11, 7, 15, 14, 0, 1, 2];17212548;0;0.161;1;0.106;[1, 0, 0];MTLS
[8, 9, 6, 17, 13, 18, 12, 16, 5, 10, 3, 4, 11, 7, 15, 14, 0, 1, 2];17212548;0;0.217;1;0.169;[1, 0, 0];MTLS
[8, 9, 6, 17, 13, 18, 12, 16, 5, 10, 3, 4, 11, 7, 15, 14, 0, 1, 2];17212548;0;0.3;1;0.164;[1, 0, 0];MTLS
[8, 9, 6, 17, 13, 18, 12, 16, 5, 10, 3, 4, 11, 7, 15, 14, 0, 1, 2];17212548;0;0.222;1;0.13;[1, 0, 0];MTLS
[8, 9, 6, 17, 13, 18, 12, 16, 5, 10, 3, 4, 11, 7, 15, 14, 0, 1, 2];17212548;0;0.168;1;0.1;[1, 0, 0];MTLS
[8, 9, 6, 17, 13, 18, 12, 16, 5, 10, 3, 4, 11, 7, 15, 14, 0, 1, 2];17212548;0;0.173;1;0.108;[1, 0, 0];MTLS
[8, 9, 6, 17, 13, 18, 12, 16, 5, 10, 3, 4, 11, 7, 15, 14, 0, 1, 2];17212548;0;0.22;1;0.102;[1, 0, 0];MTLS
[8, 9, 6, 17, 13, 18, 12, 16, 5, 10, 3, 4, 11, 7, 15, 14, 0, 1, 2];17212548;0;0.299;1;0.184;[1, 0, 0];MTLS
[8, 9, 6, 17, 13, 18, 12, 16, 5, 10, 3, 4, 11, 7, 15, 14, 0, 1, 2];17212548;0;0.165;1;0.105;[1, 0, 0];MTLS
[8, 9, 6, 17, 13, 18, 12, 16, 5, 10, 3, 4, 11, 7, 15, 14, 0, 1, 2];17212548;0;0.196;1;0.116;[1, 0, 0];MTLS
[8, 9, 6, 17, 13, 18, 12, 16, 5, 10, 3, 4, 11, 7, 15, 14, 0, 1, 2];17212548;0;0.122;1;0.088;[1, 0, 0];MTLS
[8, 9, 6, 17, 13, 18, 12, 16, 5, 10, 3, 4, 11, 7, 15, 14, 0, 1, 2];17212548;0;0.252;1;0.167;[1, 0, 0];MTLS
